Talk_ID,public_url,speaker_name,duration,published,tags,views
2243,https://www.ted.com/talks/nick_bostrom_what_happens_when_our_computers_get_smarter_than_we_are,Nick Bostrom,00:16:31,4/27/15,"philosophy,AI,technology,future,machine learning",3309795
2244,https://www.ted.com/talks/greg_gage_how_to_control_someone_else_s_arm_with_your_brain,Greg Gage,00:05:52,4/28/15,"physiology,demo,biotech,TED Fellows,neuroscience,biology,brain,science,technology",5618490
2236,https://www.ted.com/talks/sophie_scott_why_we_laugh,Sophie Scott,00:17:04,4/30/15,"physiology,evolution,sociology,speech,animals,psychology,humor,neuroscience,cognitive science,brain,science",3092965
2247,https://www.ted.com/talks/alice_goffman_college_or_prison_two_destinies_one_blatant_injustice,Alice Goffman,00:16:04,5/1/15,"crime,prison,criminal justice,justice system,violence,culture,inequality,race",1667060
2241,https://www.ted.com/talks/pamela_ronald_the_case_for_engineering_our_food,Pamela Ronald,00:17:49,5/4/15,"global issues,agriculture,food,sustainability",1632436
2246,https://www.ted.com/talks/abe_davis_new_video_technology_that_reveals_an_object_s_hidden_properties,Abe Davis,00:17:57,5/5/15,"software,computers,technology",1423092
2242,https://www.ted.com/talks/bill_t_jones_the_dancer_the_singer_the_cellist_and_a_moment_of_creative_magic,Bill T. Jones,00:06:26,5/6/15,"entertainment,live music,TED Fellows,dance,music,performance",1330863
2245,https://www.ted.com/talks/tal_danino_we_can_use_bacteria_to_detect_cancer_and_maybe_treat_it,Tal Danino,00:04:11,5/7/15,"bacteria,TED Fellows,health,cancer,biology",1261977
2248,https://www.ted.com/talks/dawn_landes_a_song_for_my_hero_the_woman_who_rowed_into_a_hurricane,Dawn Landes,00:09:26,5/8/15,"adventure,live music,music",1226690
2249,https://www.ted.com/talks/anand_varma_a_thrilling_look_at_the_first_21_days_of_a_bee_s_life,Anand Varma,00:06:06,5/11/15,"bees,insects,photography,nature",2344502
2251,https://www.ted.com/talks/elora_hardy_magical_houses_made_of_bamboo,Elora Hardy,00:10:17,5/12/15,"architecture,design,sustainability",3762821
2253,https://www.ted.com/talks/roman_mars_why_city_flags_may_be_the_worst_designed_thing_you_ve_never_noticed,Roman Mars,00:18:18,5/14/15,"cities,government,humor,design,product design",4927745
2258,https://www.ted.com/talks/martine_rothblatt_my_daughter_my_wife_our_robot_and_the_quest_for_immortality,Martine Rothblatt,00:21:04,5/18/15,"Gender spectrum,Transgender,biotech,love,medicine,creativity,robots,technology,identity",1380884
